window_last_date_utc,il_pct,p_up_start,p_up_end,metric_start,metric_end,metric_min,metric_max,start_price_range_begin,start_price_range_end
2025-02-03,-24.95045627847732,0.0,0.24950456278477323,0.14928432890253399,0.3870293346455346,0.15,1.1,2024-01-30,2025-01-21
2025-02-04,-23.558720742425777,0.0,0.23558720742425773,0.15191789621690427,0.3814519749788023,0.16,1.1,2024-01-30,2025-01-22
2025-02-05,-29.1359665592714,0.0,0.2913596655927139,0.1545909316676895,0.4338780856571511,0.16,1.1,2024-01-30,2025-01-23
2025-02-06,-32.68529463549422,0.0,0.3268529463549422,0.15750469270723194,0.4672417695736457,0.16,1.1,2024-01-30,2025-01-24
2025-02-07,-45.512173589967375,0.0006061449690630945,0.4794125845120386,0.1605697762709193,0.6106478294413163,0.16,1.1,2024-01-30,2025-01-25
2025-02-08,-43.51456679273677,0.0039494347010841,0.4961148114724118,0.16371246861901906,0.6263479227840671,0.16,1.1,2024-01-30,2025-01-26
2025-02-09,-42.897802237767024,0.0073312213539812035,0.5112849389587126,0.16689134807274233,0.64060784262119,0.16,1.1,2024-01-30,2025-01-27
2025-02-10,-43.793152946911654,0.023785869982456524,0.5817348721467173,0.17021798948508804,0.6444746413247097,0.15,1.0,2024-01-30,2025-01-28
2025-02-11,-39.18371337931967,0.027881873428195644,0.5474492931867888,0.1736995924139663,0.6153318992087705,0.15,1.0,2024-01-30,2025-01-29
2025-02-12,-37.80736016729615,0.03222802026288846,0.5446671226502955,0.17739381722345518,0.6129670542527512,0.15,1.0,2024-01-30,2025-01-30
2025-02-13,-36.199646053973424,0.03882189140196203,0.5437702397195154,0.18105751312156962,0.5850161917756124,0.15,0.9500000000000001,2024-01-30,2025-01-31
2025-02-14,-36.57070843389817,0.04342651978288415,0.5572737935334972,0.18474121582630731,0.5958190348267978,0.15,0.9500000000000001,2024-01-30,2025-02-01
2025-02-15,-43.330913174833086,0.054987951188565885,0.6436272322697706,0.1884915658319961,0.6005390625888394,0.15,0.85,2024-01-30,2025-02-02
2025-02-16,-44.38043470366863,0.06066774597966947,0.6623633024599591,0.19246742218576862,0.6136543117219714,0.15,0.85,2024-01-30,2025-02-03
2025-02-17,-40.44789924519653,0.062356997501699464,0.6289617335492069,0.1967677481262746,0.6217213001619052,0.15,0.9,2024-01-30,2025-02-04
2025-02-18,-43.58913842810992,0.07286586200545263,0.6731947388568514,0.20100610340381683,0.621236317199796,0.15,0.85,2024-01-30,2025-02-05
2025-02-19,-34.78063676753339,0.06978371377778701,0.5865507768154619,0.2058269710222296,0.6192406214523696,0.15,0.9500000000000001,2024-01-30,2025-02-06
2025-02-20,-26.348718970435957,0.05427504919118569,0.4724053443648758,0.21101854623971456,0.6040610237029833,0.16,1.1,2024-01-30,2025-02-07
2025-02-21,-13.934511984647457,0.04014133480721933,0.29678388645316817,0.21780352212239584,0.5873687964925622,0.16,1.6,2024-01-30,2025-02-08
2025-02-22,-10.122416021811054,0.04041240188468284,0.24632923508999918,0.22476294348666326,0.6057090849164986,0.15,2.0,2024-01-30,2025-02-09
2025-02-23,-9.263360791795716,0.04425989643496026,0.2418068102697072,0.23188080840467648,0.5973425989989584,0.15,2.0,2024-01-30,2025-02-10
2025-02-24,-7.705438187275348,0.048130615001475044,0.22601890534972205,0.23904163775272882,0.5681349748969858,0.15,2.0,2024-01-30,2025-02-11
2025-02-25,-7.80689013232021,0.051826302083809984,0.2342497742450854,0.24587865885504848,0.583362082353408,0.15,2.0,2024-01-30,2025-02-12
2025-02-26,-8.558420563770996,0.05550778589313582,0.2521919315942358,0.25268940390230127,0.6165550734493362,0.15,2.0,2024-01-30,2025-02-13
2025-02-27,-9.705543985198306,0.05902139665455093,0.2753456113617194,0.2591895838109192,0.659389381019181,0.15,2.0,2024-01-30,2025-02-14
2025-02-28,-9.700304076694932,0.06259988935621334,0.28144022770196253,0.2658097953089947,0.6706644212486307,0.15,2.0,2024-01-30,2025-02-15
2025-03-01,-9.766262593078178,0.06620673057296314,0.288490815407173,0.2724824515599818,0.6837080085032701,0.15,2.0,2024-01-30,2025-02-16
2025-03-02,-9.22800440956555,0.06989234205477682,0.2865634529468072,0.2793008328013371,0.6801423879515933,0.15,2.0,2024-01-30,2025-02-17
2025-03-03,-6.5715461189186914,0.07362640391761105,0.2504292377768736,0.28620884724758044,0.6132940898872162,0.15,2.0,2024-01-30,2025-02-18
2025-03-04,-8.462020497771983,0.07735755296986208,0.2867031865333149,0.29311147299424484,0.6804008950866326,0.15,2.0,2024-01-30,2025-02-19
2025-03-05,-7.956789862197233,0.08107671586146788,0.2844519974944771,0.2999919243437156,0.6762361953647826,0.15,2.0,2024-01-30,2025-02-20
2025-03-06,-6.934105849948935,0.08470470999782215,0.27318957752904593,0.306703713495971,0.655400718428735,0.15,2.0,2024-01-30,2025-02-21
2025-03-07,-7.151033911839699,0.088232450517297,0.2819739811548816,0.31323003345699946,0.671651865136531,0.15,2.0,2024-01-30,2025-02-22
2025-03-08,-7.273757492742061,0.0918703429191979,0.28927315832069816,0.3199601344005161,0.6851553428932916,0.15,2.0,2024-01-30,2025-02-23
2025-03-09,-6.808683645215529,0.09545798615642889,0.2865714958850376,0.32659727438939345,0.6801572673873196,0.15,2.0,2024-01-30,2025-02-24
2025-03-10,-7.375306745929899,0.09887020822788227,0.3008876616706288,0.3329098852215822,0.7066421740906633,0.15,2.0,2024-01-30,2025-02-25
2025-03-11,-6.916259994030338,0.10237388439817298,0.29804276707615734,0.33939168613662,0.7013791190908911,0.15,2.0,2024-01-30,2025-02-26
2025-03-12,-5.919784534413131,0.10607691787234318,0.2856439646009464,0.3462422980638349,0.6784413345117508,0.15,2.0,2024-01-30,2025-02-27
2025-03-13,-1.729561687515424,0.11003721445504099,0.19909193581124981,0.3535688467418258,0.5183200812508122,0.15,2.0,2024-01-30,2025-02-28
2025-03-14,-1.2564535650401165,0.11406522899707477,0.18936103656869777,0.36102067364458834,0.5003179176520909,0.15,2.0,2024-01-30,2025-03-01
2025-03-15,-1.1351236072557391,0.11737951598048005,0.18915772877529877,0.3671521045638881,0.4999417982343027,0.15,2.0,2024-01-30,2025-03-02
2025-03-16,-0.969798494841223,0.1206743054972756,0.1870495562369087,0.3732474651699599,0.4960416790382811,0.15,2.0,2024-01-30,2025-03-03
2025-03-17,-0.6620471161540298,0.12352855257565691,0.17788175609965998,0.3785278222649653,0.4790812487843709,0.15,2.0,2024-01-30,2025-03-04
2025-03-18,-0.5324124738513403,0.10256484240487797,0.1482051613953985,0.38461671632878036,0.4667692905117173,0.2,2.0,2024-01-30,2025-03-05
