window_last_date_utc,il_pct,p_up_start,p_up_end,metric_start,metric_end,metric_min,metric_max,start_price_range_begin,start_price_range_end
2024-04-14,-0.021734803103878875,0.26848652315466714,0.2573849001397524,67.63369022245853,64.86605560484028,0.7000000000000001,250.0,2024-03-29,2024-03-31
2024-04-15,-0.5966897573436603,0.2694424036424038,0.21299459836304163,67.90851910786914,53.838903641988125,0.75,250.0,2024-03-30,2024-04-01
2024-04-16,-0.8952185738084761,0.25154966801348627,0.1840828984984792,63.44875475236146,46.63266245074594,0.75,250.0,2024-03-31,2024-04-02
2024-04-17,-0.5112906229170378,0.22592418716270696,0.17558055041232606,57.06160365030471,44.51345219027227,0.75,250.0,2024-04-01,2024-04-03
2024-04-18,-0.07000058111659158,0.25464298569571014,0.2747964802347925,51.524882750585455,55.53945886277065,0.8,200.0,2024-04-02,2024-04-04
2024-04-19,-0.47129022414692523,0.2339212343222485,0.2866230727138878,47.3971098769919,57.89531608460644,0.8,200.0,2024-04-03,2024-04-05
2024-04-20,-1.3990495686948767,0.22100596258243763,0.31324668941769773,44.82438774642157,63.19874053200538,0.8,200.0,2024-04-04,2024-04-06
2024-04-21,-0.051801114029348394,0.23692742191200203,0.254039307948576,47.9959424448708,51.404630143356336,0.8,200.0,2024-04-05,2024-04-07
2024-04-22,-0.710268734015751,0.26157436733774647,0.2005855820371584,52.94253525531221,40.7966186627001,0.85,200.0,2024-04-06,2024-04-08
2024-04-23,-1.7265285379143958,0.2759891844677417,0.18226047802440154,55.81324608675076,37.14717419855957,0.85,200.0,2024-04-07,2024-04-09
2024-04-24,-0.019627153168166878,0.2675482197843808,0.2570003594424112,54.13222797005944,52.03162158295619,0.85,200.0,2024-04-08,2024-04-10
2024-04-25,-0.4652981726965377,0.2500027242555366,0.3028178914445482,50.638042535490115,61.15618308118177,0.85,200.0,2024-04-09,2024-04-11
2024-04-26,-1.1308500510206265,0.24228117873102892,0.3256804478897293,49.100296744284414,65.70926119723958,0.85,200.0,2024-04-10,2024-04-12
2024-04-27,-0.38421159010832984,0.253675654283136,0.30162105207604034,51.369506550486534,60.91783252094344,0.85,200.0,2024-04-11,2024-04-13
2024-04-28,-0.16715191166931653,0.2812858246714043,0.3129610920523286,56.868071983310166,63.17620148222124,0.85,200.0,2024-04-12,2024-04-14
2024-04-29,-0.020998533957639065,0.28953002110745096,0.3006714136588271,58.509903703548865,60.72871203015542,0.85,200.0,2024-04-13,2024-04-15
2024-04-30,-0.5580975090968332,0.27247070331839374,0.3309438748468899,55.11254056585812,66.75747267575812,0.85,200.0,2024-04-14,2024-04-16
2024-05-01,-2.1014756706396964,0.2384049180400139,0.35372588450164955,48.32833942766877,71.2945098985035,0.85,200.0,2024-04-15,2024-04-17
