window_last_date_utc,il_pct,p_up_start,p_up_end,metric_start,metric_end,metric_min,metric_max,start_price_range_begin,start_price_range_end
2025-07-31,-35.39896843075767,0.008131091329099328,0.4392638511467011,25.325243653163973,42.57055404586804,25.0,65.0,2023-08-20,2025-07-26
2025-08-01,-25.56211231198613,0.012163268566540797,0.3537771617235698,25.486530742661632,39.15108646894279,25.0,65.0,2023-08-20,2025-07-27
2025-08-02,-21.86518149694644,0.016071801596976167,0.3276414472472847,25.642872063879047,38.10565788989139,25.0,65.0,2023-08-20,2025-07-28
2025-08-03,-21.523483099544872,0.019694725911036493,0.33576628491847094,25.78778903644146,38.43065139673884,25.0,65.0,2023-08-20,2025-07-29
2025-08-04,-19.79127927014781,0.023312193451795693,0.32676975011804005,25.932487738071828,38.0707900047216,25.0,65.0,2023-08-20,2025-07-30
2025-08-05,-20.377329985204483,0.026823767051556223,0.3433348483658575,26.07295068206225,38.7333939346343,25.0,65.0,2023-08-20,2025-07-31
2025-08-06,-18.394084069869333,0.029646151716662496,0.32744530175746006,26.1858460686665,38.0978120702984,25.0,65.0,2023-08-20,2025-08-01
2025-08-07,-19.706418733385878,0.03226366660758275,0.34949968899621736,26.29054666430331,38.979987559848695,25.0,65.0,2023-08-20,2025-08-02
2025-08-08,-23.060475270983204,0.03492112591481913,0.39465320743966376,26.396845036592765,40.78612829758655,25.0,65.0,2023-08-20,2025-08-03
2025-08-09,-26.40932665354675,0.037360435896273095,0.4377422418222315,26.494417435850924,42.50968967288926,25.0,65.0,2023-08-20,2025-08-04
2025-08-10,-29.018635006946127,0.03995273778947759,0.47188433559261844,26.598109511579104,43.87537342370474,25.0,65.0,2023-08-20,2025-08-05
2025-08-11,-32.48740335582416,0.042543234740123205,0.5139890573176829,26.701729389604928,45.55956229270731,25.0,65.0,2023-08-20,2025-08-06
2025-08-12,-40.47320084063835,0.0,0.4047320084063835,26.808064098132366,44.16562029422342,30.0,65.0,2023-08-20,2025-08-07
2025-08-13,-45.08588279277082,0.0,0.45085882792770815,26.92116615767583,45.780058977469785,30.0,65.0,2023-08-20,2025-08-08
2025-08-14,-56.48730715774685,0.0,0.5648730715774685,27.024065456664665,46.946192147324055,30.0,60.0,2023-08-20,2025-08-09
2025-08-15,-56.55877071218103,0.0,0.5655877071218103,27.13223644785519,46.96763121365431,30.0,60.0,2023-08-20,2025-08-10
2025-08-16,-56.20672914644549,0.0,0.5620672914644549,27.232075285405436,46.862018743933646,30.0,60.0,2023-08-20,2025-08-11
2025-08-17,-55.40616993777334,0.0,0.5540616993777334,27.319455777685125,46.621850981332,30.0,60.0,2023-08-20,2025-08-12
2025-08-18,-46.444809867095294,0.0,0.46444809867095294,27.398497501991756,43.93344296012859,30.0,60.0,2023-08-20,2025-08-13
2025-08-19,-41.446134435367135,0.0,0.41446134435367127,27.479152433132338,42.43384033061014,30.0,60.0,2023-08-20,2025-08-14
2025-08-20,-40.06404870111806,0.0,0.4006404870111806,27.565166081301882,42.01921461033542,30.0,60.0,2023-08-20,2025-08-15
2025-08-21,-38.38044637860134,0.0,0.3838044637860134,27.658032565646117,41.5141339135804,30.0,60.0,2023-08-20,2025-08-16
2025-08-22,-38.107366524475125,0.0,0.3810736652447512,27.746079998673803,41.432209957342536,30.0,60.0,2023-08-20,2025-08-17
2025-08-23,-46.69384884337655,0.0,0.4669384884337655,27.79913869943614,44.008154653012966,30.0,60.0,2023-08-20,2025-08-18
2025-08-24,-46.87297005716937,0.0,0.4687297005716938,27.840763730457002,44.06189101715081,30.0,60.0,2023-08-20,2025-08-19
2025-08-25,-51.60597433744155,0.0,0.5160597433744155,27.8998511753209,45.48179230123247,30.0,60.0,2023-08-20,2025-08-20
2025-08-26,-53.10990637848369,0.0,0.531099063784837,27.950908915229366,45.93297191354511,30.0,60.0,2023-08-20,2025-08-21
2025-08-27,-63.90857889934376,0.0,0.6390857889934376,28.006659095896218,49.17257366980313,30.0,60.0,2023-08-20,2025-08-22
2025-08-28,-58.98062935529638,0.0,0.5898062935529638,28.083604216547428,47.69418880658891,30.0,60.0,2023-08-20,2025-08-23
2025-08-29,-50.115100985040264,0.0,0.5011510098504026,28.1545039917161,45.03453029551208,30.0,60.0,2023-08-20,2025-08-24
2025-08-30,-46.43253456059722,0.0,0.4643253456059722,28.231243832000864,43.92976036817917,30.0,60.0,2023-08-20,2025-08-25
2025-08-31,-48.58889064164633,0.0,0.4858889064164634,28.3090088201533,44.5766671924939,30.0,60.0,2023-08-20,2025-08-26
2025-09-01,-42.05069362538198,0.0,0.42050693625381985,28.397882358880175,44.717742768883696,30.0,65.0,2023-08-20,2025-08-27
2025-09-02,-40.95657898540641,0.0,0.40956578985406406,28.489629792090895,44.33480264489224,30.0,65.0,2023-08-20,2025-08-28
2025-09-03,-43.45721731447698,0.0,0.4345721731447698,28.57420759902879,45.210026060066944,30.0,65.0,2023-08-20,2025-08-29
2025-09-04,-45.323984866141274,0.0,0.45323984866141276,28.650145231499515,45.863394703149446,30.0,65.0,2023-08-20,2025-08-30
2025-09-05,-46.113792974193636,0.0,0.46113792974193635,28.737103166271186,46.13982754096777,30.0,65.0,2023-08-20,2025-08-31
2025-09-06,-48.12603150297004,0.0,0.4812603150297004,28.82233530698464,46.84411102603951,30.0,65.0,2023-08-20,2025-09-01
2025-09-07,-48.448446729714476,0.0,0.4844844672971448,28.904021575507937,46.95695635540007,30.0,65.0,2023-08-20,2025-09-02
2025-09-08,-57.11262534602683,0.0,0.5711262534602684,28.98788103940627,49.98941887110939,30.0,65.0,2023-08-20,2025-09-03
2025-09-09,-67.29452190888537,0.0,0.6729452190888537,29.072585224676097,53.55308266810988,30.0,65.0,2023-08-20,2025-09-04
