window_last_date_utc,il_pct,p_up_start,p_up_end,metric_start,metric_end,metric_min,metric_max,start_price_range_begin,start_price_range_end
2023-10-22,-2.738182543258272,0.3626639127767987,0.493366947178049,69.813319563884,70.46683473589025,68.0,73.0,2023-03-30,2023-10-09
2023-10-23,-2.551422038098472,0.3666881396398793,0.49251693233204036,69.8334406981994,70.4625846616602,68.0,73.0,2023-03-30,2023-10-10
2023-10-24,-3.429903945437629,0.3705122507823148,0.5164884529904242,69.85256125391157,70.58244226495212,68.0,73.0,2023-03-30,2023-10-11
2023-10-25,-5.815510403241319,0.3742813996954311,0.5646704559783842,69.87140699847716,70.82335227989192,68.0,73.0,2023-03-30,2023-10-12
2023-10-26,-5.2227655817477565,0.37807234658745303,0.5579174673288833,69.89036173293727,70.78958733664442,68.0,73.0,2023-03-30,2023-10-13
2023-10-27,-5.513509013992612,0.38195104941652,0.5662922618166079,69.9097552470826,70.83146130908304,68.0,73.0,2023-03-30,2023-10-14
2023-10-28,-6.682575715847017,0.385837671496634,0.588355222852249,69.92918835748317,70.94177611426124,68.0,73.0,2023-03-30,2023-10-15
2023-10-29,-6.412355971904682,0.3894671111260294,0.5872738348692877,69.94733555563015,70.93636917434644,68.0,73.0,2023-03-30,2023-10-16
2023-10-30,-5.95579010427466,0.39284096406993,0.5829438791487348,69.96420482034965,70.91471939574367,68.0,73.0,2023-03-30,2023-10-17
2023-10-31,-7.4094122291961995,0.3960017847293642,0.6075487701081244,69.98000892364682,71.03774385054062,68.0,73.0,2023-03-30,2023-10-18
2023-11-01,-9.238048539253029,0.3990064812309669,0.634493430475888,69.99503240615483,71.17246715237944,68.0,73.0,2023-03-30,2023-10-19
2023-11-02,-8.746464512689467,0.40210827856363096,0.6306583673236986,70.01054139281815,71.1532918366185,68.0,73.0,2023-03-30,2023-10-20
2023-11-03,-13.098649470324808,0.4046021942624634,0.6827105018873624,70.02301097131232,71.41355250943681,68.0,73.0,2023-03-30,2023-10-21
2023-11-04,-12.624032387178419,0.40741172309358265,0.6797967271429229,70.03705861546791,71.39898363571461,68.0,73.0,2023-03-30,2023-10-22
2023-11-05,-22.390876232387548,0.5126459282343454,0.8284042159746647,70.05058371293738,71.31361686389866,68.0,72.0,2023-03-30,2023-10-23
2023-11-06,-21.71788413249276,0.515986804543747,0.8276845152960242,70.06394721817499,71.3107380611841,68.0,72.0,2023-03-30,2023-10-24
2023-11-07,-30.21236142453868,0.5194961662556388,0.8768551709283727,70.07798466502256,71.50742068371349,68.0,72.0,2023-03-30,2023-10-25
2023-11-08,-37.20298848850021,0.5230753726170896,0.9095648304678896,70.09230149046836,71.63825932187156,68.0,72.0,2023-03-30,2023-10-26
2023-11-09,-47.240523870181406,0.5265397431616954,0.9450102208701985,70.10615897264678,71.7800408834808,68.0,72.0,2023-03-30,2023-10-27
2023-11-10,-60.44595244560098,0.5300681119601087,0.9765877812486146,70.12027244784043,71.90635112499446,68.0,72.0,2023-03-30,2023-10-28
2023-11-11,-67.37736209168195,0.5337445280306845,0.9882696464835661,70.13497811212274,71.95307858593426,68.0,72.0,2023-03-30,2023-10-29
2023-11-12,-61.26829260596909,0.5376657149712898,0.9815167674443153,70.15066285988516,71.92606706977726,68.0,72.0,2023-03-30,2023-10-30
2023-11-13,-57.043951406800566,0.5414082705444763,0.9762593154280097,70.1656330821779,71.90503726171204,68.0,72.0,2023-03-30,2023-10-31
2023-11-14,-29.09067991025417,0.43603049942859684,0.8243094572918437,70.18015249714298,72.12154728645922,68.0,73.0,2023-03-30,2023-11-01
2023-11-15,-36.50046966314975,0.4389959073246189,0.8644974762372101,70.1949795366231,72.32248738118605,68.0,73.0,2023-03-30,2023-11-02
2023-11-16,-31.764184740694958,0.44210186738372953,0.841901476597559,70.21050933691865,72.2095073829878,68.0,73.0,2023-03-30,2023-11-03
2023-11-17,-31.121554043835708,0.44549975239232253,0.839932699100919,70.22749876196161,72.1996634955046,68.0,73.0,2023-03-30,2023-11-04
2023-11-18,-27.259333681769515,0.4488768732777828,0.8196641811092888,70.24438436638891,72.09832090554644,68.0,73.0,2023-03-30,2023-11-05
2023-11-19,-26.58180457774599,0.45195935768445566,0.8171084367024918,70.25979678842228,72.08554218351246,68.0,73.0,2023-03-30,2023-11-06
2023-11-20,-25.22401989262577,0.454897614310363,0.8102675528843463,70.27448807155181,72.05133776442173,68.0,73.0,2023-03-30,2023-11-07
2023-11-21,-26.96913893034959,0.4579926020776185,0.8223057186316283,70.28996301038809,72.11152859315814,68.0,73.0,2023-03-30,2023-11-08
2023-11-22,-32.54388652405888,0.46106925365679674,0.8538702797486138,70.30534626828398,72.26935139874307,68.0,73.0,2023-03-30,2023-11-09
2023-11-23,-32.956876505663416,0.4642879982541814,0.857215153874364,70.3214399912709,72.28607576937182,68.0,73.0,2023-03-30,2023-11-10
2023-11-24,-34.586824229238765,0.46765093195382973,0.8663354613621778,70.33825465976915,72.33167730681089,68.0,73.0,2023-03-30,2023-11-11
2023-11-25,-15.438164002816412,0.3925279659724528,0.6973978693378887,70.35516779583472,72.18438721602733,68.0,74.0,2023-03-30,2023-11-12
2023-11-26,-15.157078180136253,0.3952565827267544,0.6966034235548904,70.37153949636053,72.17962054132934,68.0,74.0,2023-03-30,2023-11-13
